MaGV,GiangVien,MaLop,MaHP,TenHP,NamHoc,HocKy,SoSV,File Excel moi,Duong dan
GV0101,TS. Le Anh Hai,SH03,C25204303,Thuc hanh co so chuyen nganh SH,2025-2026,2,80,GV-GV0101_Lop-SH03_HP-C25204303_Thuc_hanh_co_so_chuyen_nganh_SH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-SH03_HP-C25204303_Thuc_hanh_co_so_chuyen_nganh_SH_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,TTH02,C25204703,Thuc hanh co so chuyen nganh TTH,2025-2026,2,80,GV-GV0101_Lop-TTH02_HP-C25204703_Thuc_hanh_co_so_chuyen_nganh_TTH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-TTH02_HP-C25204703_Thuc_hanh_co_so_chuyen_nganh_TTH_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,VL01,C25205103,Thuc hanh co so chuyen nganh VL,2025-2026,2,80,GV-GV0101_Lop-VL01_HP-C25205103_Thuc_hanh_co_so_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-VL01_HP-C25205103_Thuc_hanh_co_so_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,VL05,C25205503,Thuc hanh co so chuyen nganh VL,2025-2026,2,80,GV-GV0101_Lop-VL05_HP-C25205503_Thuc_hanh_co_so_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-VL05_HP-C25205503_Thuc_hanh_co_so_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,HH04,HP019,Hoa ly,2025-2026,2,80,GV-GV0101_Lop-HH04_HP-HP019_Hoa_ly_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-HH04_HP-HP019_Hoa_ly_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,HDH01,HP041,Hai duong hoc dai cuong,2025-2026,2,80,GV-GV0101_Lop-HDH01_HP-HP041_Hai_duong_hoc_dai_cuong_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-HDH01_HP-HP041_Hai_duong_hoc_dai_cuong_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,CNSH03,C25200304,Ung dung chuyen nganh CNSH,2025-2026,2,80,GV-GV0102_Lop-CNSH03_HP-C25200304_Ung_dung_chuyen_nganh_CNSH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-CNSH03_HP-C25200304_Ung_dung_chuyen_nganh_CNSH_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,CNTT02,C25200704,Ung dung chuyen nganh CNTT,2025-2026,2,80,GV-GV0102_Lop-CNTT02_HP-C25200704_Ung_dung_chuyen_nganh_CNTT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-CNTT02_HP-C25200704_Ung_dung_chuyen_nganh_CNTT_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,DC01,C25201104,Ung dung chuyen nganh DC,2025-2026,2,80,GV-GV0102_Lop-DC01_HP-C25201104_Ung_dung_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-DC01_HP-C25201104_Ung_dung_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,DC05,C25201504,Ung dung chuyen nganh DC,2025-2026,2,80,GV-GV0102_Lop-DC05_HP-C25201504_Ung_dung_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-DC05_HP-C25201504_Ung_dung_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,DTVT04,C25201904,Ung dung chuyen nganh DTVT,2025-2026,2,80,GV-GV0102_Lop-DTVT04_HP-C25201904_Ung_dung_chuyen_nganh_DTVT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-DTVT04_HP-C25201904_Ung_dung_chuyen_nganh_DTVT_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,HDH03,C25202304,Ung dung chuyen nganh HDH,2025-2026,2,80,GV-GV0102_Lop-HDH03_HP-C25202304_Ung_dung_chuyen_nganh_HDH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-HDH03_HP-C25202304_Ung_dung_chuyen_nganh_HDH_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,HH02,C25202704,Ung dung chuyen nganh HH,2025-2026,2,80,GV-GV0102_Lop-HH02_HP-C25202704_Ung_dung_chuyen_nganh_HH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-HH02_HP-C25202704_Ung_dung_chuyen_nganh_HH_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,KHMT01,C25203104,Ung dung chuyen nganh KHMT,2025-2026,2,80,GV-GV0102_Lop-KHMT01_HP-C25203104_Ung_dung_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-KHMT01_HP-C25203104_Ung_dung_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,KHMT05,C25203504,Ung dung chuyen nganh KHMT,2025-2026,2,80,GV-GV0102_Lop-KHMT05_HP-C25203504_Ung_dung_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-KHMT05_HP-C25203504_Ung_dung_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,KHVL04,C25203904,Ung dung chuyen nganh KHVL,2025-2026,2,80,GV-GV0102_Lop-KHVL04_HP-C25203904_Ung_dung_chuyen_nganh_KHVL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-KHVL04_HP-C25203904_Ung_dung_chuyen_nganh_KHVL_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,SH03,C25204304,Ung dung chuyen nganh SH,2025-2026,2,80,GV-GV0102_Lop-SH03_HP-C25204304_Ung_dung_chuyen_nganh_SH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-SH03_HP-C25204304_Ung_dung_chuyen_nganh_SH_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,TTH02,C25204704,Ung dung chuyen nganh TTH,2025-2026,2,80,GV-GV0102_Lop-TTH02_HP-C25204704_Ung_dung_chuyen_nganh_TTH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-TTH02_HP-C25204704_Ung_dung_chuyen_nganh_TTH_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,VL01,C25205104,Ung dung chuyen nganh VL,2025-2026,2,80,GV-GV0102_Lop-VL01_HP-C25205104_Ung_dung_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-VL01_HP-C25205104_Ung_dung_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,VL05,C25205504,Ung dung chuyen nganh VL,2025-2026,2,80,GV-GV0102_Lop-VL05_HP-C25205504_Ung_dung_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-VL05_HP-C25205504_Ung_dung_chuyen_nganh_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,HH05,HP020,Cong nghe hoa hoc,2025-2026,2,80,GV-GV0102_Lop-HH05_HP-HP020_Cong_nghe_hoa_hoc_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-HH05_HP-HP020_Cong_nghe_hoa_hoc_2025-2026_HK2_CO_DIEM.xlsx
GV0102,ThS. Pham Phuong Ha,HDH02,HP042,Khi tuong bien,2025-2026,2,80,GV-GV0102_Lop-HDH02_HP-HP042_Khi_tuong_bien_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0102_ThS._Pham_Phuong_Ha/GV-GV0102_Lop-HDH02_HP-HP042_Khi_tuong_bien_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,CNSH03,C25200305,Seminar hoc thuat CNSH,2025-2026,2,80,GV-GV0201_Lop-CNSH03_HP-C25200305_Seminar_hoc_thuat_CNSH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-CNSH03_HP-C25200305_Seminar_hoc_thuat_CNSH_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,CNTT02,C25200705,Seminar hoc thuat CNTT,2025-2026,2,80,GV-GV0201_Lop-CNTT02_HP-C25200705_Seminar_hoc_thuat_CNTT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-CNTT02_HP-C25200705_Seminar_hoc_thuat_CNTT_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,DC01,C25201105,Seminar hoc thuat DC,2025-2026,2,80,GV-GV0201_Lop-DC01_HP-C25201105_Seminar_hoc_thuat_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-DC01_HP-C25201105_Seminar_hoc_thuat_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,DC05,C25201505,Seminar hoc thuat DC,2025-2026,2,80,GV-GV0201_Lop-DC05_HP-C25201505_Seminar_hoc_thuat_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-DC05_HP-C25201505_Seminar_hoc_thuat_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,DTVT04,C25201905,Seminar hoc thuat DTVT,2025-2026,2,80,GV-GV0201_Lop-DTVT04_HP-C25201905_Seminar_hoc_thuat_DTVT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-DTVT04_HP-C25201905_Seminar_hoc_thuat_DTVT_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,HDH03,C25202305,Seminar hoc thuat HDH,2025-2026,2,80,GV-GV0201_Lop-HDH03_HP-C25202305_Seminar_hoc_thuat_HDH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-HDH03_HP-C25202305_Seminar_hoc_thuat_HDH_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,HH02,C25202705,Seminar hoc thuat HH,2025-2026,2,80,GV-GV0201_Lop-HH02_HP-C25202705_Seminar_hoc_thuat_HH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-HH02_HP-C25202705_Seminar_hoc_thuat_HH_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,KHMT01,C25203105,Seminar hoc thuat KHMT,2025-2026,2,80,GV-GV0201_Lop-KHMT01_HP-C25203105_Seminar_hoc_thuat_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-KHMT01_HP-C25203105_Seminar_hoc_thuat_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,KHMT05,C25203505,Seminar hoc thuat KHMT,2025-2026,2,80,GV-GV0201_Lop-KHMT05_HP-C25203505_Seminar_hoc_thuat_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-KHMT05_HP-C25203505_Seminar_hoc_thuat_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,KHVL04,C25203905,Seminar hoc thuat KHVL,2025-2026,2,80,GV-GV0201_Lop-KHVL04_HP-C25203905_Seminar_hoc_thuat_KHVL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-KHVL04_HP-C25203905_Seminar_hoc_thuat_KHVL_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,SH03,C25204305,Seminar hoc thuat SH,2025-2026,2,80,GV-GV0201_Lop-SH03_HP-C25204305_Seminar_hoc_thuat_SH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-SH03_HP-C25204305_Seminar_hoc_thuat_SH_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,TTH02,C25204705,Seminar hoc thuat TTH,2025-2026,2,80,GV-GV0201_Lop-TTH02_HP-C25204705_Seminar_hoc_thuat_TTH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-TTH02_HP-C25204705_Seminar_hoc_thuat_TTH_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,VL01,C25205105,Seminar hoc thuat VL,2025-2026,2,80,GV-GV0201_Lop-VL01_HP-C25205105_Seminar_hoc_thuat_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-VL01_HP-C25205105_Seminar_hoc_thuat_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,VL05,C25205505,Seminar hoc thuat VL,2025-2026,2,80,GV-GV0201_Lop-VL05_HP-C25205505_Seminar_hoc_thuat_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-VL05_HP-C25205505_Seminar_hoc_thuat_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,DC01,HP021,Dia chat dai cuong,2025-2026,2,80,GV-GV0201_Lop-DC01_HP-HP021_Dia_chat_dai_cuong_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-DC01_HP-HP021_Dia_chat_dai_cuong_2025-2026_HK2_CO_DIEM.xlsx
GV0201,TS. Pham Huu Nam,HDH03,HP043,Sinh thai bien,2025-2026,2,80,GV-GV0201_Lop-HDH03_HP-HP043_Sinh_thai_bien_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0201_TS._Pham_Huu_Nam/GV-GV0201_Lop-HDH03_HP-HP043_Sinh_thai_bien_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,CNSH03,C25200306,Du an hoc phan CNSH,2025-2026,2,80,GV-GV0202_Lop-CNSH03_HP-C25200306_Du_an_hoc_phan_CNSH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-CNSH03_HP-C25200306_Du_an_hoc_phan_CNSH_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,CNTT02,C25200706,Du an hoc phan CNTT,2025-2026,2,80,GV-GV0202_Lop-CNTT02_HP-C25200706_Du_an_hoc_phan_CNTT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-CNTT02_HP-C25200706_Du_an_hoc_phan_CNTT_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,DC01,C25201106,Du an hoc phan DC,2025-2026,2,80,GV-GV0202_Lop-DC01_HP-C25201106_Du_an_hoc_phan_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-DC01_HP-C25201106_Du_an_hoc_phan_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,DC05,C25201506,Du an hoc phan DC,2025-2026,2,80,GV-GV0202_Lop-DC05_HP-C25201506_Du_an_hoc_phan_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-DC05_HP-C25201506_Du_an_hoc_phan_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,DTVT04,C25201906,Du an hoc phan DTVT,2025-2026,2,80,GV-GV0202_Lop-DTVT04_HP-C25201906_Du_an_hoc_phan_DTVT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-DTVT04_HP-C25201906_Du_an_hoc_phan_DTVT_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,HDH03,C25202306,Du an hoc phan HDH,2025-2026,2,80,GV-GV0202_Lop-HDH03_HP-C25202306_Du_an_hoc_phan_HDH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-HDH03_HP-C25202306_Du_an_hoc_phan_HDH_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,HH02,C25202706,Du an hoc phan HH,2025-2026,2,80,GV-GV0202_Lop-HH02_HP-C25202706_Du_an_hoc_phan_HH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-HH02_HP-C25202706_Du_an_hoc_phan_HH_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,KHMT01,C25203106,Du an hoc phan KHMT,2025-2026,2,80,GV-GV0202_Lop-KHMT01_HP-C25203106_Du_an_hoc_phan_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-KHMT01_HP-C25203106_Du_an_hoc_phan_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,KHMT05,C25203506,Du an hoc phan KHMT,2025-2026,2,80,GV-GV0202_Lop-KHMT05_HP-C25203506_Du_an_hoc_phan_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-KHMT05_HP-C25203506_Du_an_hoc_phan_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,KHVL04,C25203906,Du an hoc phan KHVL,2025-2026,2,80,GV-GV0202_Lop-KHVL04_HP-C25203906_Du_an_hoc_phan_KHVL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-KHVL04_HP-C25203906_Du_an_hoc_phan_KHVL_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,SH03,C25204306,Du an hoc phan SH,2025-2026,2,80,GV-GV0202_Lop-SH03_HP-C25204306_Du_an_hoc_phan_SH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-SH03_HP-C25204306_Du_an_hoc_phan_SH_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,TTH02,C25204706,Du an hoc phan TTH,2025-2026,2,80,GV-GV0202_Lop-TTH02_HP-C25204706_Du_an_hoc_phan_TTH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-TTH02_HP-C25204706_Du_an_hoc_phan_TTH_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,VL01,C25205106,Du an hoc phan VL,2025-2026,2,80,GV-GV0202_Lop-VL01_HP-C25205106_Du_an_hoc_phan_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-VL01_HP-C25205106_Du_an_hoc_phan_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,VL05,C25205506,Du an hoc phan VL,2025-2026,2,80,GV-GV0202_Lop-VL05_HP-C25205506_Du_an_hoc_phan_VL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-VL05_HP-C25205506_Du_an_hoc_phan_VL_2025-2026_HK2_CO_DIEM.xlsx
GV0202,ThS. Hoang Bao Lan,DC02,HP022,Khoang vat hoc,2025-2026,2,80,GV-GV0202_Lop-DC02_HP-HP022_Khoang_vat_hoc_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0202_ThS._Hoang_Bao_Lan/GV-GV0202_Lop-DC02_HP-HP022_Khoang_vat_hoc_2025-2026_HK2_CO_DIEM.xlsx
