STT,MaSV,HoTen,NgaySinh,NoiSinh,GioiTinh,MaLop,Email,KhoaHoc,BacDaoTao,LoaiHinhDT,NganhDT,ChuyenNganh,Khoa,TinhTrang
58,SV058,Bùi Mỹ Trang,2005-11-05,Khánh Hòa,Nữ,CNTT01,sv058@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
59,SV059,Đỗ Trọng Bình,2006-12-06,Lâm Đồng,Nam,CNTT01,sv059@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
60,SV060,Hồ Văn Hải,2002-01-07,TP.HCM,Nam,CNTT01,sv060@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
61,SV061,Ngô Thanh Hương,2003-02-08,Hà Nội,Nữ,CNTT01,sv061@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
62,SV062,Dương Phương Mai,2004-03-09,Đà Nẵng,Nữ,CNTT01,sv062@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
63,SV063,Lý Bảo Thảo,2005-04-10,Cần Thơ,Nữ,CNTT01,sv063@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
64,SV064,Nguyễn Mỹ Anh,2006-05-11,Đồng Nai,Nữ,CNTT01,sv064@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
65,SV065,Trần Khánh Dung,2002-06-12,Bình Dương,Nữ,CNTT01,sv065@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
66,SV066,Lê Văn Long,2003-07-13,Long An,Nam,CNTT01,sv066@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
67,SV067,Phạm Quốc Quân,2004-08-14,Tiền Giang,Nam,CNTT01,sv067@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
68,SV068,Hoàng Phương Nga,2005-09-15,Nghệ An,Nữ,CNTT01,sv068@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
69,SV069,Huỳnh Thanh Đạt,2006-10-16,Thanh Hóa,Nam,CNTT01,sv069@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
70,SV070,Phan Gia Cường,2002-11-17,Hải Phòng,Nam,CNTT01,sv070@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
71,SV071,Vũ Khánh Hà,2003-12-18,Nam Định,Nữ,CNTT01,sv071@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
72,SV072,Võ Thị Lan,2004-01-19,Quảng Nam,Nữ,CNTT01,sv072@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
73,SV073,Đặng Quốc Tùng,2005-02-20,Khánh Hòa,Nam,CNTT01,sv073@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
74,SV074,Bùi Đức Khôi,2006-03-21,Lâm Đồng,Nam,CNTT01,sv074@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
75,SV075,Đỗ Thanh Bình,2002-04-22,TP.HCM,Nam,CNTT01,sv075@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
76,SV076,Hồ Mỹ Giang,2003-05-23,Hà Nội,Nữ,CNTT01,sv076@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
77,SV077,Ngô Khánh Hương,2004-06-24,Đà Nẵng,Nữ,CNTT01,sv077@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
78,SV078,Dương Thị Mai,2005-07-25,Cần Thơ,Nữ,CNTT01,sv078@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
79,SV079,Lý Quốc Huy,2006-08-26,Đồng Nai,Nam,CNTT01,sv079@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
80,SV080,Nguyễn Đức An,2002-09-27,Bình Dương,Nam,CNTT01,sv080@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
81,SV081,Trần Bảo Dung,2003-10-01,Long An,Nữ,CNTT02,sv081@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
82,SV082,Lê Mỹ Hạnh,2004-11-02,Tiền Giang,Nữ,CNTT02,sv082@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
83,SV083,Phạm Khánh Linh,2005-12-03,Nghệ An,Nữ,CNTT02,sv083@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
84,SV084,Hoàng Thị Nga,2006-01-04,Thanh Hóa,Nữ,CNTT02,sv084@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
85,SV085,Huỳnh Thanh Yến,2002-02-05,Hải Phòng,Nữ,CNTT02,sv085@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
86,SV086,Phan Đức Cường,2003-03-06,Nam Định,Nam,CNTT02,sv086@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
87,SV087,Vũ Thanh Khang,2004-04-07,Quảng Nam,Nam,CNTT02,sv087@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
88,SV088,Võ Mỹ Lan,2005-05-08,Khánh Hòa,Nữ,CNTT02,sv088@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
89,SV089,Đặng Trọng Tùng,2006-06-09,Lâm Đồng,Nam,CNTT02,sv089@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
90,SV090,Bùi Văn Khôi,2002-07-10,TP.HCM,Nam,CNTT02,sv090@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
91,SV091,Đỗ Thanh Bích,2003-08-11,Hà Nội,Nữ,CNTT02,sv091@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
92,SV092,Hồ Phương Giang,2004-09-12,Đà Nẵng,Nữ,CNTT02,sv092@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
93,SV093,Ngô Thanh Nam,2005-10-13,Cần Thơ,Nam,CNTT02,sv093@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
94,SV094,Dương Gia Sơn,2006-11-14,Đồng Nai,Nam,CNTT02,sv094@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
95,SV095,Lý Trọng Huy,2002-12-15,Bình Dương,Nam,CNTT02,sv095@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
96,SV096,Nguyễn Thị Anh,2003-01-16,Long An,Nữ,CNTT02,sv096@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
97,SV097,Trần Thanh Dung,2004-02-17,Tiền Giang,Nữ,CNTT02,sv097@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
98,SV098,Lê Phương Hạnh,2005-03-18,Nghệ An,Nữ,CNTT02,sv098@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
99,SV099,Phạm Thanh Quân,2006-04-19,Thanh Hóa,Nam,CNTT02,sv099@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
100,SV100,Hoàng Gia Việt,2002-05-20,Hải Phòng,Nam,CNTT02,sv100@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
101,SV1000,Võ Gia Phong,2002-05-02,Hải Phòng,Nam,VL03,sv1000@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
102,SV1001,Đặng Khánh My,2003-06-03,Nam Định,Nữ,VL03,sv1001@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
103,SV1002,Bùi Thị Trang,2004-07-04,Quảng Nam,Nữ,VL03,sv1002@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
104,SV1003,Đỗ Thanh Bích,2005-08-05,Khánh Hòa,Nữ,VL03,sv1003@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
105,SV1004,Hồ Phương Giang,2006-09-06,Lâm Đồng,Nữ,VL03,sv1004@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
106,SV1005,Ngô Bảo Hương,2002-10-07,TP.HCM,Nữ,VL03,sv1005@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
107,SV1006,Dương Gia Sơn,2003-11-08,Hà Nội,Nam,VL03,sv1006@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
108,SV1007,Lý Trọng Huy,2004-12-09,Đà Nẵng,Nam,VL03,sv1007@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
109,SV1008,Nguyễn Thị Anh,2005-01-10,Cần Thơ,Nữ,VL03,sv1008@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
110,SV1009,Trần Quốc Dũng,2006-02-11,Đồng Nai,Nam,VL03,sv1009@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
111,SV101,Huỳnh Khánh Yến,2003-06-21,Nam Định,Nữ,CNTT02,sv101@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
112,SV1010,Lê Đức Long,2002-03-12,Bình Dương,Nam,VL03,sv1010@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
113,SV1011,Phạm Bảo Linh,2003-04-13,Long An,Nữ,VL03,sv1011@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
114,SV1012,Hoàng Mỹ Nga,2004-05-14,Tiền Giang,Nữ,VL03,sv1012@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
115,SV1013,Huỳnh Trọng Đạt,2005-06-15,Nghệ An,Nam,VL03,sv1013@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
116,SV1014,Phan Văn Cường,2006-07-16,Thanh Hóa,Nam,VL03,sv1014@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
117,SV1015,Vũ Quốc Khang,2002-08-17,Hải Phòng,Nam,VL03,sv1015@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
118,SV1016,Võ Phương Lan,2003-09-18,Nam Định,Nữ,VL03,sv1016@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
119,SV1017,Đặng Bảo My,2004-10-19,Quảng Nam,Nữ,VL03,sv1017@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
120,SV1018,Bùi Mỹ Trang,2005-11-20,Khánh Hòa,Nữ,VL03,sv1018@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
121,SV1019,Đỗ Trọng Bình,2006-12-21,Lâm Đồng,Nam,VL03,sv1019@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
122,SV102,Phan Thị Chi,2004-07-22,Quảng Nam,Nữ,CNTT02,sv102@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Hệ thống thông tin,CNTT,Đang học
123,SV1020,Hồ Văn Hải,2002-01-22,TP.HCM,Nam,VL03,sv1020@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
124,SV1021,Ngô Thanh Hương,2003-02-23,Hà Nội,Nữ,VL03,sv1021@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
125,SV1022,Dương Phương Mai,2004-03-24,Đà Nẵng,Nữ,VL03,sv1022@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
126,SV1023,Lý Bảo Thảo,2005-04-25,Cần Thơ,Nữ,VL03,sv1023@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
127,SV1024,Nguyễn Mỹ Anh,2006-05-26,Đồng Nai,Nữ,VL03,sv1024@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
128,SV1025,Trần Khánh Dung,2002-06-27,Bình Dương,Nữ,VL03,sv1025@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
129,SV1026,Lê Văn Long,2003-07-01,Long An,Nam,VL03,sv1026@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
130,SV1027,Phạm Quốc Quân,2004-08-02,Tiền Giang,Nam,VL03,sv1027@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
131,SV1028,Hoàng Phương Nga,2005-09-03,Nghệ An,Nữ,VL03,sv1028@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
132,SV1029,Huỳnh Thanh Đạt,2006-10-04,Thanh Hóa,Nam,VL03,sv1029@student.edu.vn,2022-2026,Đại học,Chính quy,Vật lý,Điện tử vật lý,VL,Đang học
